Host 1,Title (copy for cal),Description,Location
Eric Neyman,Team Estimation with a Traitor,"You'll be on a team of four people, competing against other teams to estimate things (like the height of the tallest tree) as accurately as possible. But take note: on your team there will be a traitor, who will try to make your team's estimate as *inaccurate* as possible! Top scorers will be awarded mana :)",E - Floor 2 (Side Sessions)
Ian Philips ,Jazz Jam (BYO Instrument),Musically inclined? Come jam with Ian Phillips and others. We'll have drums and a keyboard -- bring your own instrument too!,B - Ground floor
Max Chiswick,How AI Poker Works,"We'll look at the main algorithm, Counterfactual Regret Minimization (CFR), that is used to find game theory optimal strategies in poker and will apply it to a toy game. Then we'll look at how poker players use ""solvers"" to study poker strategy in Texas Hold'em. ",E - Floor 2 (Side Sessions)
Elizabeth Van Nostrand,Fireside Chat: ManiFund Q+A,"Elizabeth + ManiFund team member talk about manifund.

Can include audience Q+A",E - Floor 2 (Side Sessions)
,-- LEGEND --,,
,Telegraph Area,,
,The Park,,
,B - Attic,,
,The Gardens,,
,  ,,
,E - Floor 2 (Side Sessions),,
,A - Board Gaming,,
,D - Console Gaming,,
,B - Ground floor,,
Michael Wheatley,Team Forecasting,"Forecast questions as a team: groups will analyze a set of major questions, guess probabilities, and discuss how to come to an accurate opinion.

Then we will bet on our beliefs from a group Manifold account to see if we collectively beat the market. ",E - Floor 2 (Side Sessions)
Seo Sanghyeon,LK-99 Q&A,You can ask questions and I will try my best to answer,E - Floor 2 (Side Sessions)
Michael Wheatley,Whalebait Markets on Manifold,"A ""whalebait market"" is the most degenerate form of gambling known to mankind. When a prediction market tries to predict _its own price_, the market degenerates into a winner-take-all contest to see who can put down the most money. Michael Wheatley will recount the history and strategy of this (thankfully dead) artform on Manifold. ",E - Floor 2 (Side Sessions)
Max Chiswick,Poker Satellite Table #4 (late reg),,A - Board Gaming
Eti Rabys,Hot Seat (Intrusive Questions Game),"'- Get in circles of 4-7 people
- Go around the circle, each person fielding 3 intrusive questions (http://web.askhole.io/ is a good source of intrusive questions)",E - Floor 2 (Side Sessions)
Raymond Arnold,Calibration Practice Discussion,"I'm interested in hearing how people have practiced calibration, and presenting an exercise that might be useful. (I'm particularly interested in ""the qualia of calibration"". i.e. what is it like, when you notice you were surprised/wrong (or underconfident), and how can you use that awareness to get better?)",B - Attic
Max Chiswick,Minimum Viable Yom Kippur,Kol Nidrei services for Jews who'd like to attend services (but also stay at Manifest).,Ward 2
Keri Warr,Balance games and Wrestling!,"experience physical contact! find your comfort limits! alternating camaraderie and aggression! disengage higher functions! return to monke!

fun for all shapes and sizes of people",The Park
Holly Elmore,What’s stopping you from doing AI Safety advocacy?,Group discussion about advocacy for AI Safety and advertisement for anti-irreversible proliferation protest on Friday 9/29.,B - Ground floor
"Jacob Cohen,Andrew Imbens,Allison Hung,Marco Angeldones ",Proofniks/Conflux Q&A,"I decided to do a thing after all! Casual chat / Q&A / panel about the story of Proof School students on Manifold, the Market Manipulation Podcast, Manifold culture and history, anything. ",B - Ground floor
Jeffrey Heninger,Talk to a Theist,"It can feel as though this community is reflexively secular. If you are religious and want to find other religious people to talk to, or if you want to understand more about being religious in this community, or if you want to talk about religion more generally, come over and chat. 

I have also talked about my religion on the Filan Cabinet: https://sites.libsyn.com/438081/10-mormonism-with-jeffrey-heninger",E - Breakout Sessions
"Matt C. Wilson,Noa Nabeshima,Lauren Milliken",Caramel Taste Test Showdown,"Join us at the kitchen and help us decide which of Lauren’s caramels taste the best, or just bet on the market!

https://manifold.markets/NoaNabeshima/will-apple-cider-caramels-beat-pine?r=TWF0dENXaWxzb24",
